name	type	units	sampling_frequency
Fp1	EEG	uV	1000
Fz	EEG	uV	1000
F3	EEG	uV	1000
F7	EEG	uV	1000
FT9	EEG	uV	1000
FC5	EEG	uV	1000
FC1	EEG	uV	1000
C3	EEG	uV	1000
T7	EEG	uV	1000
TP9	EEG	uV	1000
CP5	EEG	uV	1000
CP1	EEG	uV	1000
Pz	EEG	uV	1000
P3	EEG	uV	1000
P7	EEG	uV	1000
O1	EEG	uV	1000
Oz	EEG	uV	1000
O2	EEG	uV	1000
P4	EEG	uV	1000
P8	EEG	uV	1000
TP10	EEG	uV	1000
CP6	EEG	uV	1000
CP2	EEG	uV	1000
Cz	EEG	uV	1000
C4	EEG	uV	1000
T8	EEG	uV	1000
FT10	EEG	uV	1000
FC6	EEG	uV	1000
FC2	EEG	uV	1000
F4	EEG	uV	1000
F8	EEG	uV	1000
FP2	EEG	uV	1000
AF7	EEG	uV	1000
AF3	EEG	uV	1000
AFz	EEG	uV	1000
F1	EEG	uV	1000
F5	EEG	uV	1000
FT7	EEG	uV	1000
FC3	EEG	uV	1000
C1	EEG	uV	1000
C5	EEG	uV	1000
TP7	EEG	uV	1000
CP3	EEG	uV	1000
P1	EEG	uV	1000
P5	EEG	uV	1000
PO7	EEG	uV	1000
PO3	EEG	uV	1000
POz	EEG	uV	1000
PO4	EEG	uV	1000
PO8	EEG	uV	1000
P6	EEG	uV	1000
P2	EEG	uV	1000
CPz	EEG	uV	1000
CP4	EEG	uV	1000
TP8	EEG	uV	1000
C6	EEG	uV	1000
C2	EEG	uV	1000
FC4	EEG	uV	1000
FT8	EEG	uV	1000
F6	EEG	uV	1000
AF8	EEG	uV	1000
AF4	EEG	uV	1000
F2	EEG	uV	1000
IZ	EEG	uV	1000
F9	EEG	uV	1000
AFF1h	EEG	uV	1000
FFC1h	EEG	uV	1000
FFC5h	EEG	uV	1000
FTT7h	EEG	uV	1000
FCC3h	EEG	uV	1000
CCP1h	EEG	uV	1000
CCP5h	EEG	uV	1000
TPP7h	EEG	uV	1000
P9	EEG	uV	1000
PPO9h	EEG	uV	1000
PO9	EEG	uV	1000
O9	EEG	uV	1000
OI1h	EEG	uV	1000
PPO1h	EEG	uV	1000
CPP3h	EEG	uV	1000
CPP4h	EEG	uV	1000
PPO2h	EEG	uV	1000
OI2h	EEG	uV	1000
O10	EEG	uV	1000
PO10	EEG	uV	1000
PPO10h	EEG	uV	1000
P10	EEG	uV	1000
TPP8h	EEG	uV	1000
CCP6h	EEG	uV	1000
CCP2h	EEG	uV	1000
FCC4h	EEG	uV	1000
FTT8h	EEG	uV	1000
FFC6h	EEG	uV	1000
FFC2h	EEG	uV	1000
AFF2h	EEG	uV	1000
F10	EEG	uV	1000
AFP1	EEG	uV	1000
AFF5h	EEG	uV	1000
FFT9h	EEG	uV	1000
FFT7h	EEG	uV	1000
FFC3h	EEG	uV	1000
FCC1h	EEG	uV	1000
FCC5h	EEG	uV	1000
FTT9h	EEG	uV	1000
TTP7h	EEG	uV	1000
CCP3h	EEG	uV	1000
CPP1h	EEG	uV	1000
CPP5h	EEG	uV	1000
TPP9h	EEG	uV	1000
POO9h	EEG	uV	1000
PPO5h	EEG	uV	1000
POO1	EEG	uV	1000
POO2	EEG	uV	1000
PPO6h	EEG	uV	1000
POO10h	EEG	uV	1000
TPP10h	EEG	uV	1000
CPP6h	EEG	uV	1000
CPP2h	EEG	uV	1000
CCP4h	EEG	uV	1000
TTP8h	EEG	uV	1000
FTT10h	EEG	uV	1000
FCC6h	EEG	uV	1000
FCC2h	EEG	uV	1000
FFC4h	EEG	uV	1000
FFT8h	EEG	uV	1000
FFT10h	EEG	uV	1000
AFF6h	EEG	uV	1000
AFp2	EEG	uV	1000
